Epoch,Distributed Loss,Centralized Loss,Distributed Train Loss,Distributed Train Accuracy,Distributed Test Accuracy,Centralized Test Accuracy,Optimizer,Learning Rate,Batch Size,Clients,Sampled Clients Per Round,Evaluate Clients Per Round,LDA Alpha,BackPack Extension,Task,Model,Date
1,0.32027657275297206,0.2778188586950302,0.5733316542854925,0.122227201434013,0.1469387755102041,0.1719,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
2,0.3116361219055799,0.2712093402266502,0.5592749890410749,0.15371678439286915,0.1673469387755102,0.1867,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
3,0.3085649512252029,0.26062736443281176,0.5452920597807694,0.16610663082437277,0.17142857142857143,0.1992,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
4,0.2936169981956482,0.25097842482328414,0.5332456669714943,0.19049220764659716,0.23061224489795917,0.2698,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
5,0.2906068492908867,0.2483378715634346,0.5234031165366241,0.20463969516978595,0.2571428571428571,0.2723,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
6,0.27634184652445265,0.2411889701485634,0.5152482018333548,0.22382711902362556,0.3020408163265306,0.283,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
7,0.2784096236131629,0.23510174318552018,0.503314159662883,0.23871906841339155,0.2816326530612245,0.2992,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
8,0.2762604402036083,0.23266324685811995,0.4976837656151097,0.24523649405962789,0.2755102040816326,0.3155,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
9,0.2794383053876916,0.22920383356809615,0.49019158327476603,0.25467996861338416,0.2938775510204082,0.3314,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
10,0.26726761667095883,0.2220979436159134,0.48232023095322246,0.2721667974442327,0.3224489795918367,0.335,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
11,0.263947509502878,0.22180847792625427,0.47978279596135537,0.2751933639726488,0.32653061224489793,0.3533,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
12,0.2592454856755782,0.21623435144424438,0.47502634036178387,0.2787362760475017,0.36122448979591837,0.3697,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
13,0.2553234316864792,0.21356627510786055,0.46677453127716056,0.3024532317687913,0.3448979591836735,0.3815,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
14,0.2582015022939565,0.2090938842535019,0.4612059457234478,0.30814931061540185,0.363265306122449,0.3927,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
15,0.24627545585437696,0.20762534343600272,0.4578993084715841,0.3199955167002914,0.40408163265306124,0.4026,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
16,0.25086477119095474,0.20560940756201745,0.45255151711031877,0.3292983635956064,0.3408163265306122,0.4013,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
17,0.2396216207621049,0.20299336483478547,0.4485796428235753,0.3315028577832568,0.363265306122449,0.406,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
18,0.23650053447606612,0.2002204193174839,0.4396480893557205,0.3459556352229442,0.4204081632653061,0.4168,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
19,0.24100405658994403,0.19693240191936492,0.43865137833327483,0.3527105734767025,0.39591836734693875,0.4238,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
20,0.23772948396449187,0.19583818994164467,0.4350322592695367,0.35205110961667785,0.4142857142857143,0.4324,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
21,0.22878478473546554,0.1933145588338375,0.4318410970993894,0.3561259948436274,0.40408163265306124,0.4343,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
22,0.24001562425068446,0.19259586126208306,0.42781983992389944,0.36847412054671747,0.373469387755102,0.4393,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
23,0.2204117790776856,0.1893018963396549,0.4238073686426909,0.37218424296761177,0.43673469387755104,0.4502,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
24,0.23231631444425,0.18864153510332107,0.4194961707604727,0.38447754507783627,0.4142857142857143,0.4459,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
25,0.217856044307047,0.18894867616295816,0.4177273776614308,0.38155535634244736,0.45918367346938777,0.4527,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
26,0.2203838945651541,0.18432547021508217,0.4118835308856893,0.3925128894866622,0.43673469387755104,0.4556,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
27,0.21107711755499547,0.1840024239718914,0.4094255426673077,0.39562780269058295,0.47346938775510206,0.4621,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
28,0.21715871752524862,0.1827979825913906,0.4073639022225852,0.397175837722739,0.4489795918367347,0.4673,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
29,0.21968598195484706,0.18200030663013458,0.40108001459263426,0.4162277261010871,0.42653061224489797,0.466,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
30,0.2336154741900308,0.17979925624132156,0.399826202270576,0.4178903710346374,0.41836734693877553,0.4715,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
31,0.22209164390758593,0.18041294963955878,0.4028455032704591,0.4077310924369748,0.42653061224489797,0.4719,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
32,0.21243554171250792,0.1783704578280449,0.3959630201036119,0.417152466367713,0.4326530612244898,0.4758,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
33,0.21480061132080702,0.17701383728981018,0.39465100591016905,0.4230338337441183,0.4489795918367347,0.4818,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
34,0.2143725561852358,0.17478231920003892,0.394487812683305,0.4158360398700862,0.5020408163265306,0.4939,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
35,0.21731435729532825,0.17455487921237944,0.38600278750335865,0.4377451529754567,0.47959183673469385,0.4915,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
36,0.20941218928414948,0.17300279710292815,0.38597466721571333,0.43471926482124845,0.45714285714285713,0.4976,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
37,0.21025484642203973,0.1728856343239546,0.3923089671160315,0.42625153992608356,0.4714285714285714,0.4967,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
38,0.2118745191973083,0.17188304687440395,0.38490062516854295,0.4298992161254199,0.5081632653061224,0.4979,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
39,0.2144126141557888,0.1716874384403229,0.3821418930001984,0.44209229390681004,0.45918367346938777,0.4956,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
40,0.205254157100405,0.17060533551573753,0.3817526232870687,0.44,0.47551020408163264,0.5046,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
41,0.21294584760860522,0.1704548864364624,0.3804573597756418,0.44398340248962653,0.45510204081632655,0.5009,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
42,0.1986993031842368,0.16809606948196887,0.37986287746715747,0.4444942309846533,0.4959183673469388,0.5138,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
43,0.19077075938789212,0.16832976117134094,0.37600887271769573,0.453679847653187,0.5183673469387755,0.5105,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
44,0.20654144919648462,0.16568112936913967,0.36859747868937237,0.46230536574437103,0.4897959183673469,0.52,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
45,0.2008757011014588,0.16626080872118473,0.37462337082601715,0.4538625406435699,0.5346938775510204,0.5201,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
46,0.1981535814246353,0.1640802436321974,0.3700551701929806,0.45904761904761904,0.5163265306122449,0.525,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
47,0.1858892041809705,0.16478461944460868,0.3696999651505535,0.4663827879874496,0.5469387755102041,0.5246,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
48,0.20758602363722664,0.16552783196866513,0.36600569932583976,0.47119479937233805,0.4857142857142857,0.5117,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
49,0.2065652499393541,0.16357108840048312,0.3613343439478377,0.47612107623318384,0.5163265306122449,0.5208,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
50,0.20406448561318066,0.16282688093185424,0.36267208319119815,0.4732362821948488,0.5102040816326531,0.5261,SGD,0.03,4,100,20,10,100,KFLR,CIFAR10,ResNet18,/2024-03-14/15-32-15
